 Dates ; HF Index ; UST ; SPX ; RTY ; SX5E ; TPX ; EUR ; JPY ; MSCI_EM 
30/11/2010;0.0009;-0.0098;-0.0001;0.0346;-0.0655;0.0834;-0.0633;-0.0378;-0.0318
31/12/2010;0.0293;-0.0296;0.0667;0.0804;0.0543;0.0287;0.0276;0.0294;0.0779
31/01/2011;0.0025;0.003;0.0235;-0.0027;0.0594;0.0039;0.0243;-0.0107;-0.0363
28/02/2011;0.0119;-0.0037;0.0341;0.0547;0.0179;0.0415;0.0083;0.0031;-0.0066
31/03/2011;-0.0012;-0.0001;-0.0001;0.0261;-0.0307;-0.0831;0.0289;-0.0165;0.053
30/04/2011;0.0154;0.0176;0.0293;0.0264;0.0362;0.0222;0.0451;0.0241;0.0351
31/05/2011;-0.0119;0.0239;-0.0116;-0.0186;-0.0305;-0.0201;-0.0298;-0.0047;-0.032
30/06/2011;-0.0134;-0.0022;-0.0172;-0.0227;-0.0031;0.0164;0.0103;0.0125;-0.0054
31/07/2011;0.0053;0.0274;-0.0206;-0.0362;-0.0611;-0.007;-0.0097;0.0442;-0.0073
31/08/2011;-0.0281;0.0346;-0.0549;-0.0871;-0.1414;-0.0805;0.0021;0.006;-0.0955
30/09/2011;-0.036;0.0082;-0.0709;-0.1126;-0.0569;-0.0446;-0.066;-0.0066;-0.1878
31/10/2011;0.0242;-0.0079;0.1095;0.1525;0.1076;0.0368;0.0377;-0.0128;0.1622
30/11/2011;-0.0117;0.0085;-0.0026;-0.0035;-0.026;-0.027;-0.0348;0.0061;-0.0134
31/12/2011;-0.0051;0.0138;0.0101;0.0079;-0.0039;-0.0266;-0.0356;0.0066;-0.0443
31/01/2012;0.0246;0.0085;0.0444;0.0709;0.0485;0.0469;0.0091;0.0095;0.106
29/02/2012;0.0204;-0.0075;0.043;0.0238;0.0372;0.1085;0.0193;-0.0619;0.0548
31/03/2012;-0.0017;-0.0112;0.0328;0.0267;-0.0115;0.0501;-0.0005;-0.0205;-0.0269
30/04/2012;-0.0059;0.0216;-0.0068;-0.0155;-0.0623;-0.0694;-0.0073;0.0379;-0.0191
31/05/2012;-0.0193;0.0199;-0.0606;-0.066;-0.0682;-0.103;-0.066;0.0185;-0.1098
30/06/2012;0.0004;-0.0042;0.0413;0.0509;0.0769;0.0743;0.0234;-0.0194;0.0468
31/07/2012;0.0087;0.0096;0.0134;-0.0136;0.0324;-0.0566;-0.028;0.0217;0.0008
31/08/2012;0.0072;0.0007;0.0222;0.0338;0.0464;0.035;0.0219;-0.0031;0.0019
30/09/2012;0.0105;-0.0018;0.0259;0.0341;0.0128;0.0034;0.0211;0.0042;0.0497
31/10/2012;-0.0044;-0.0034;-0.0191;-0.0217;0.02;0.0068;0.0082;-0.0227;-0.004
30/11/2012;0.0033;0.0083;0.0054;0.0054;0.03;0.0644;0.0025;-0.0321;0.0155
31/12/2012;0.0141;-0.0064;0.0087;0.036;0.0171;0.1118;0.015;-0.0493;0.0686
31/01/2013;0.026;-0.0113;0.0515;0.0632;0.0367;0.056;0.028;-0.0524;-0.0016
